,loss,auc,val_loss,val_auc
0,0.4694703221321106,0.8422890901565552,0.5063128471374512,0.8975000381469727
1,0.3183267414569855,0.9233766198158264,0.4474334716796875,0.8877975940704346
2,0.30115339159965515,0.9270451664924622,0.4349168837070465,0.9203571081161499
3,0.28818878531455994,0.9366975426673889,0.3510861098766327,0.9246428608894348
4,0.26307156682014465,0.9470385909080505,0.3658289313316345,0.913392961025238
5,0.26529935002326965,0.9468209743499756,0.30620893836021423,0.9279761910438538
6,0.2706514596939087,0.9428123235702515,0.4129214882850647,0.9270833134651184
7,0.24979230761528015,0.9518679976463318,0.42464664578437805,0.919702410697937
8,0.2307002693414688,0.960866391658783,0.30102115869522095,0.9367857575416565
9,0.2243715226650238,0.9598692059516907,0.3324702978134155,0.9135714769363403
10,0.23037312924861908,0.9574353694915771,0.35582777857780457,0.9480356574058533
11,0.21069127321243286,0.9656959176063538,0.31127452850341797,0.9304762482643127
12,0.19544343650341034,0.9717327952384949,0.2779074013233185,0.9468451738357544
13,0.20262384414672852,0.9696083664894104,0.29467013478279114,0.9483333230018616
14,0.19168032705783844,0.9715755581855774,0.38243770599365234,0.9465476274490356
15,0.19618992507457733,0.9682937264442444,0.4165627658367157,0.9364284873008728
16,0.2006906270980835,0.9684884548187256,0.27299413084983826,0.9461904168128967
17,0.19061598181724548,0.9710162281990051,0.38256603479385376,0.9470238089561462
18,0.15793730318546295,0.9789807200431824,0.37179431319236755,0.9460119009017944
19,0.16549314558506012,0.9774903655052185,0.26649045944213867,0.9517857432365417
20,0.16346345841884613,0.9792180061340332,0.24227358400821686,0.9622023701667786
21,0.1549156904220581,0.9806283712387085,0.2512551546096802,0.9561309218406677
22,0.14503422379493713,0.9829865097999573,0.25545990467071533,0.9585119485855103
23,0.1478019654750824,0.9844290018081665,0.25237247347831726,0.9582738280296326
24,0.1417088359594345,0.984070360660553,0.271762490272522,0.9566666483879089
